ID	Type	-log(pval)	residual_expression	size	Cox
BIRC7	TG	0	1.2857	0.29194	0
BRCA1	TF	3.6702	0	1	0
CCND1	TG	0	0.78605	0.17849	0
CDKN1A	TG	0	1.075	0.24411	0
DDIT3	TG	0	1.5149	0.34398	0
EGR1	TG	0	1.9946	0.4529	0
FOS	TG	0	1.6981	0.38558	0
GADD45A	TG	0	0.56812	0.129	0
GJB1	TG	0	1.525	0.34628	0
GPNMB	TG	0	1.9842	0.45054	0
HMGA2	TG	0	0.36632	0.083179	0
IGF1R	TG	0	0.98574	0.22383	0
IRF9	TG	0	0.30915	0.070199	-0.275
KRT18	TG	0	1.263	0.28679	0
MBP	TG	0	0.92573	0.21021	0
MIA	TG	0	4.4039	1	0
MITF	TF	3.6702	0.7885	1.179	0
MLANA	TG	0	1.2986	0.29487	0
MPZ	TG	0	2.2291	0.50615	0
NES	TG	0	0.61271	0.13913	0
PMEL	TG	0	2.765	0.62786	0.2765
SOX10	TF	3.5233	0	0.95996	0
STAT1	TG	0	0.31107	0.070634	-0.3686
STAT2	TG	0	0.43268	0.098249	0
STAT3	TG	0	0.64505	0.14647	-0.2334
TYR	TG	0	3.3668	0.76449	0
XPC	TG	0	0.4686	0.1064	0
