TF	pvalue
ERG	0.00010251
ETS2	0.00011427
PARP1	0.00011427
PTTG1	0.00011427
EGR1	0.00021413
ETS1	0.00021413
HIF1A	0.00021413
SRF	0.00022089
SMAD4	0.00067375
ZEB2	0.0020277
VHL	0.0023611
ESR1	0.0024155
MKL1	0.0033025
PAX6	0.0033368
HOXD3	0.0037959
PPARG	0.0037959
KLF4	0.0054137
SP3	0.0054137
MYB	0.0071763
TWIST2	0.0081771
HOXB7	0.0086424
NFIC	0.013279
STAT6	0.015151
ABL1	0.016012
RELB	0.016258
GATA2	0.016615
HDAC2	0.018281
TWIST1	0.018281
NFIL3	0.018684
STAT3	0.019236
ATF6	0.020498
HDAC10	0.020498
HIF3A	0.020498
TLX1	0.020498
MTA1	0.029955
SSX2	0.032453
ASXL1	0.035244
TP53	0.035244
RUNX1	0.038254
SMAD3	0.038416
WHSC1	0.04726
