Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
NKG7	MS4A1	UGDH-AS1	DCT	APOC2	SAA1	TYROBP	IGFBP7
CD8A	CD79A	ROCK1P1	PMEL	APOD	TF	FCER1G	EFEMP1
CST7	HLA-DRA	TMEM212	LHFPL3-AS1	SERPINA3	SFRP1	CD14	CCL21
GZMA	BANK1	HERC2P4	CTSK	MIA	MAGEA4	IFI30	BGN
CD3D	CD79B	ASTN2	TYRP1	A2M	RGS5	C1QC	THY1
CCL4	IGLL5	SHISA9	TUBB4A	SERPINE2	MAGEC2	C1QA	TFPI
IL32	IRF8	ORC4	SCD	TYR	PDK4	AIF1	CLDN5
GZMK	CD37	SPC25	GPM6B	APOE	C2orf82	C1QB	PDLIM1
PRF1	CD19	LOC643406	RAB38	IFI27	ALDH1A3	S100A9	COL1A1
CD2	CD74	LOC646214	PIR	TRIML2	CAMP	FCGR3A	C1R
KLRK1	CXCR4	ODF2L	KIT	MFGE8	SERPINA3	CSF1R	RARRES2
ITM2A	SELL	ABCC9	CA14	NSG1	C1QTNF3	MS4A6A	CYR61
RGS1	VPREB3	L2HGDH	BCAN	RDH5	ANGPTL4	IGSF6	DCN
PDCD1	HLA-DPA1	LYZ	SNAI2	SLC26A2	ERRFI1	HCK	C1S
CD27	TCL1A	LOC286437	GSTO1	CAPN3	COL1A2	PILRA	NNMT
TIGIT	HLA-DQB1	MAB21L3	MLANA	MT2A	MRPL36	VSIG4	CXCR7
LCK	BCL11A	KCNQ1OT1	SLC45A2	SPP1	FN1	IL1B	IGFBP4
CTSW	LTB	ARHGEF26-AS1	GPR143	TM4SF1	HAPLN1	TMEM176B	ECSCR
IL2RG	NAPSB	FBLIM1	TRPM1	PMEL	SAA2	CD163	GNG11
SIRPG	CD22	GLIPR1L2	CDK2	CDH19	MGP	FCN1	CLU
CD8B	HLA-DQA1	LOC100131257	MLPH	TMEM255A	TFAP2C	LYZ	THBS1
SRGN	CD52	SCD5	HSPA2	S100A6	MT1X	FCGR1A	LUM
PTPRCAP	HLA-DOB	REXO1L1	PYCARD	GATSL3	SLCO4A1	CD68	CCL14
DUSP2	ADAM28	LRTOMT	TYR	APOC1	GPR37	C3AR1	COL4A2
CD3E	NCF1	GATM-AS1	MITF	CTSB	TNFRSF11B	LST1	COL4A1
CCL5	HLA-DRB1	ESRG	PAFAH1B3	MCAM	FABP7	SERPINA1	EGFL7
CCL4L1	NCF1C	GSG1	MYC	S100B	AQP1	FGL2	RAMP2
CCL4L2	HLA-DMB	XKR9	CHCHD6	HSPA1A	BRD9	FPR1	ENG
LSP1	FAIM3	INGX	OAT	TMEM98	MEST	LILRB4	SERPING1
HCST	TXNIP	UGT8	UQCRFS1	CTSD	REM1	FAM26F	MFAP4
IFITM1	FCER2	LOC90834	ACP5	TIMP1	LOXL3	PLAUR	IL33
PRKCH	FCRLA	QPCTL	TTC39A	ANXA1	TESC	TGFBI	FSTL1
SLA	HVCN1	PDDC1	BZW2	SGK1	CRYAB	MS4A4A	CCDC80
RARRES3	HLA-DPB1	MTFMT	TIMM50	MPZ	CP	NCF2	COL3A1
CXCL13	RPL21	LOC284023	GPNMB	LGALS3	RAMP1	HLA-DRA	PPIC
CORO1A	STAP1	RAMP2-AS1	GSTP1	CTSL1	SLC20A1	S100A8	HYAL2
IL2RB	FCRL1	LPAL2	ILVBL	PYGB	MSMP	FCGR2A	CDH5
GZMB	BLNK	PGM5P2	TUBB2A	S100A13	TERT	MNDA	IFITM3
IFNG	CCR7	POU5F1	TMEM147	LYRM9	NGEF	IL4I1	SDPR
APOBEC3G	LAPTM5	AKIP1	PAICS	ITGA3	PAGE2	MSR1	SELM
RAC2	RPS5	LINC00294	CDH3	ATP1A1	PDLIM4	CYBB	MMP2
ZAP70	NCF1B	PRICKLE2-AS3	C11orf24	DUSP6	PDCD6	TMEM176A	CNN3
CXCR6	HLA-DRB5	DFFA	TDRD3	SPON2	SPRY2	CST3	LHFP
GIMAP4	PLAC8	NLRP12	RUVBL2	AGA	FCGR2C	TREM2	NTS
GZMH	BLK	RAB42	UBE2T	EMP1	ADORA2B	LILRB2	TAGLN
PTPN7	CR2	MAP1LC3C	SCARB1	GSN	CADM1	PLXDC2	EHD2
CD3G	EEF1B2	DLEU2	UBL3	CSPG4	NDUFS6	IL1RN	FABP4
CBLB	LY86	ACBD7	FABP5	LGALS3BP	PDGFA	HLA-DMB	SEPP1
DENND2D	CNR2	C17orf75	AP1S2	NPC2	PAGE5	SOD2	VWF
PYHIN1	CXCR5	NMNAT1	TBC1D7	QPCT	IGFBP3	C1orf162	PTRF
ITGB2	HLA-DQA2	PSTPIP2	METTL9	TNFRSF12A	ABCA8	CPVL	GJA1
CRIP1	BTK	ARRDC3-AS1	KPNA2	ITGA7	PRKCDBP	CXCL16	APP
LCP1	PAX5	LINC00670	PLTP	EGR1	ERV3-1	CCL3	CRIP2
SH2D1A	LOC283663	OPHN1	PTTG1	S100A1	PRDX2	SLC7A7	ADIRF
CD247	CIITA	ZBTB8A	IMPDH2	GPNMB	ITGB4	FOLR2	LYVE1
ID2	GPR183	TNFAIP8L1	TUBB6	SERPINA1	MAGEA1	CCR1	MGP
S100A4	FAM129C	INMT	H2AFZ	PRAME	MIR100HG	TNFSF13	RAMP3
CXCR3	RPL13A	GNE	CDC16	PROS1	SDHA	TLR2	PLAC9
HAVCR2	EEF1G	C21orf62	MRPL37	MDK	CHI3L1	HLA-DRB5	PPAP2A
TOX	FAM65B	PNPO	CSTB	VAT1	ITGA10	CXCL10	EPAS1
PSTPIP1	FGD2	GPR82	VDAC2	GAA	FMOD	NINJ1	PPAP2B
