	A1	A2	A3	A4	A5	A6	A7	A8
B cells naive	-0.067543	0.35877	0.026392	-0.22699	-0.25197	-0.2059	-0.046824	-0.15753
B cells memory	-0.064363	0.39564	-0.0072325	-0.24624	-0.26509	-0.21687	-0.031591	-0.1798
Plasma cells	-0.072836	0.11875	-0.024788	-0.10158	-0.074562	-0.060291	-0.027992	-0.094355
T cells CD8	0.26831	-0.060213	0.064723	-0.3349	-0.35655	-0.31704	-0.27669	-0.29192
T cells CD4 naive	0.17879	-0.0093061	0.074982	-0.27672	-0.30645	-0.22545	-0.25576	-0.24403
T cells CD4 memory resting	0.25266	-0.034886	0.059315	-0.3264	-0.3468	-0.34902	-0.24807	-0.30553
T cells CD4 memory activated	0.18521	-0.099845	0.062496	-0.23698	-0.26305	-0.22466	-0.16233	-0.23435
T cells follicular helper	0.19517	-0.052629	0.034291	-0.264	-0.27052	-0.23355	-0.24469	-0.26141
T cells regulatory (Tregs)	0.15121	-0.051825	0.038914	-0.22728	-0.25009	-0.22978	-0.18895	-0.1824
T cells gamma delta	0.19234	-0.1271	0.038492	-0.25777	-0.2573	-0.23157	-0.09164	-0.23127
NK cells resting	0.22228	-0.12979	0.061348	-0.27468	-0.29802	-0.22044	-0.15589	-0.22965
NK cells activated	0.22883	-0.12658	0.047493	-0.27264	-0.29782	-0.25537	-0.11901	-0.2324
Monocytes	-0.11144	-0.02376	0.034624	-0.10045	-0.13059	-0.078441	1.2835	-0.060935
Macrophages M0	-0.13553	-0.085254	-0.020275	-0.0067814	-0.017586	0.0051334	1.058	0.067431
Macrophages M1	-0.048647	-0.023407	0.014344	-0.12897	-0.1312	-0.075005	0.63485	0.03254
Macrophages M2	-0.10835	-0.031345	7.4759e-05	-0.080842	-0.082597	-0.037591	0.89698	0.060662
Dendritic cells resting	-0.14426	-0.06125	-0.033924	-0.018288	0.0025339	0.0011079	0.98929	0.083179
Dendritic cells activated	-0.065287	-0.037288	0.0094518	-0.076515	-0.087703	-0.096227	0.5887	-0.0025452
Mast cells resting	-0.080956	-0.09062	0.055104	0.0054458	-0.021139	-0.010266	0.15552	0.0035071
Mast cells activated	-0.069304	-0.078207	0.027667	-0.033447	-0.063639	-0.043046	0.31977	-0.025458
Eosinophils	-0.045737	-0.0060536	0.050549	-0.11252	-0.13718	-0.091061	0.37328	-0.083627
Neutrophils	-0.068725	-0.027416	0.052124	-0.11876	-0.13687	-0.058328	0.76302	-0.075672
